
Key                                                                    Action                                                              
Ctrl+8                                                                 Apply or clear custom tag                                           
Ctrl+9                                                                 Apply or clear custom tag                                           
Ctrl+0                                                                 Remove all note tags from the selected notes                        
Alt+Shift+1                                                            Show through Level 1                                                
Alt+Shift+2                                                            Expand to Level 2                                                   
Alt+Shift+3                                                            Expand to Level 3                                                   
Alt+Shift+4                                                            Expand to Level 4                                                   
Alt+Shift+5                                                            Expand to Level 5                                                   
Alt+Shift+6                                                            Expand to Level 6                                                   
Alt+Shift+7                                                            Expand to Level 7                                                   
Alt+Shift+8                                                            Expand to Level 8                                                   
Alt+Shift+9                                                            Expand to Level 9                                                   
Alt+Shift+0                                                            Expand all levels                                                   
Tab                                                                    Increase indent by one level                                        
Shift+Tab                                                              Decrease indent by one level                                        
Alt+Shift+Plus Sign                                                    Expand collapsed outline                                            
Alt+Shift+Minus Sign                                                   Collapse an expanded outline                                        
Ctrl+Left Shift                                                        Set writing direction left to right                                 
Ctrl+Right Shift                                                       Set writing direction right to left                                 
Tab                                                                    Increase indent by one level in right-to-left text                  
Shift+Tab                                                              Decrease indent by one level in right-to-left text                  
F11                                                                    Enable or disable full page view                                    
Ctrl+M                                                                 Open new window                                                     
Ctrl+Shift+M                                                           Open small window to create side note                               
Ctrl+Shift+*                                                           Expand or collapse the tabs of page group                           
Ctrl+P                                                                 Print the current page                                              
Ctrl+N                                                                 Add new page at the end of the selected section                     
Ctrl+Shift+[                                                           Increase the width of the page tabs bar                             
Ctrl+Shift+]                                                           Decrease the width of the page tabs bar                             
Ctrl+Alt+N                                                             Create new page below the current page tab at the same level        
Ctrl+Alt+[                                                             Decrease indent level of the current page tab label                 
Ctrl+Alt+]                                                             Increase indent level of the current page tab label                 
Ctrl+Shift+Alt+N                                                       Create new subpage below the current page                           
Ctrl+A                                                                 Select all items (or all page in group)                             
Ctrl+Shift+A                                                           Select the current page                                             
Alt+Shift+Up Arrow                                                     Move the selected page tab up                                       
Alt+Shift+Down Arrow                                                   Move the selected page tab down                                     
Ctrl+Shift+T                                                           Move the insertion point to the page title                          
Alt+PAGE Up                                                            Go to the first page in the currently visible set of page tabs      
Alt+PAGE Down                                                          Go to the last page in the currently visible set of page tabs       
PAGE Up                                                                Scroll up in the current page                                       
PAGE Down                                                              Scroll down in the current page                                     
Ctrl+Home                                                              Scroll to the top of the current page                               
Ctrl+End                                                               Scroll to the bottom of the current page                            
Ctrl+Down Arrow                                                        Go to the next paragraph                                            
Ctrl+Up Arrow                                                          Go to the previous paragraph                                        
Alt+Down Arrow                                                         Go to the next note container                                       
Home                                                                   Go to the beginning of the line                                     
End                                                                    Go to the end of the line                                           
Left Arrow                                                             Move one character to the left                                      
Right Arrow                                                            Move one character to the right                                     
Alt+Left Arrow                                                         Go back to the last page visited                                    
Alt+Right Arrow                                                        Go forward to the next page visited                                 
Alt+Ctrl+Plus Sign (on the numeric keypad) or Alt+Ctrl+Shift+Plus Sign Zoom in                                                             
Alt+Ctrl+Minus Sign (on the numeric keypad) or Alt+Ctrl+Shift+Hyphen   Zoom out                                                            
Ctrl+S                                                                 Save changes                                                        
Windows+Shift+N                                                        Open OneNote                                                        
Ctrl+O                                                                 Open notebook                                                       
Windows+N                                                              Send to OneNote Tool                                                
Ctrl+T                                                                 Create new section                                                  
Ctrl+Alt+Shift+O                                                       Open section                                                        
Ctrl+Tab                                                               Go to the next section                                              
Ctrl+Shift+Tab                                                         Go to the previous section                                          
Ctrl+PAGE Down                                                         Go to the next page in the section                                  
Ctrl+PAGE Up                                                           Go to the previous page in the section                              
Alt+Home                                                               Go to the first page in the section                                 
Alt+End                                                                Go to the last page in the section                                  
Alt+PAGE Up                                                            Go to the first page in the currently visible set of page tabs      
Alt+PAGE Down                                                          Go to the last page of the currently visible set of page tabs       
Ctrl+Alt+M                                                             Move or copy the current page                                       
Ctrl+Alt+G                                                             Put focus on the current page tab                                   
Ctrl+SHFT+A                                                            Select the current page tab                                         
Ctrl+Shift+G                                                           Put focus on the current section tab                                
Ctrl+Shift+G, Shift+F10, M                                             Move the current section                                            
Ctrl+G, DownArrow/UpArrow (select notebook), Enter                     Switch to different notebook on the Navigation bar                  
Ctrl+E                                                                 Move the insertion point to the Search box to search all notebooks  
Down Arrow                                                             While searching all notebooks, preview next result                  
Enter                                                                  While searching all notebooks, go to selected result & dismiss Se...
Ctrl+E, Tab, Space                                                     Change the search scope                                             
Alt+O after searching                                                  Open the Search Results pane                                        
Ctrl+F                                                                 Search only the current page, switch with Ctrl+E or Ctrl+F          
Enter or F3                                                            While searching the current page, move to the next result           
Shift+F3                                                               While searching the current page, move to the previous result       
Esc                                                                    Dismiss Search and return to the page                               
Ctrl+Shift+E                                                           Send selected pages as email                                        
Ctrl+Shift+E                                                           Send the selected pages as email                                    
Ctrl+Shift+1                                                           Create Today Outlook task from selected note                        
Ctrl+Shift+2                                                           Create Tomorrow Outlook task from selected note                     
Ctrl+Shift+3                                                           Create This Week Outlook task from selected note                    
Ctrl+Shift+4                                                           Create Next Week Outlook task from selected note                    
Ctrl+Shift+5                                                           Create No Date Outlook task from selected note                      
Ctrl+Shift+K                                                           Open the selected Outlook task                                      
Ctrl+Shift+9                                                           Mark the selected Outlook task as complete                          
Ctrl+Shift+0                                                           Delete the selected Outlook task                                    
Shift+F9                                                               Sync changes in the current shared notebook                         
F9                                                                     Sync changes in all shared notebooks                                
Ctrl+Q                                                                 Mark the current page as Unread                                     
Ctrl+Alt+L                                                             Lock all password-protected sections                                


