RELOADED
Key                   Function                      Description
Unbound               ViYankPreviousGlob            Place all characters from before the cursor to the beginning of the previous...
Unbound               ViYankNextGlob                Place all characters from the cursor to the end of the word, as delimited by...
Unbound               ViNextWord                    Move the cursor to the beginning of the next word, as delimited by white spa...
Unbound               ViBackwardWord                Delete backward to the beginning of the previous word, as delimited by white...
Unbound               ViBackwardGlob                Move the cursor to the beginning of the previous word, as delimited by white...
Unbound               MoveToEndOfLine               Move to the end of the line.
Unbound               NextWordEnd                   Moves the cursor forward to the end of the next word.
Unbound               GotoColumn                    Moves the cursor to the perscribed column.
Unbound               GotoFirstNonBlankOfLine       Positions the cursor at the first non-blank character.
Unbound               ViGotoBrace                   Move the cursor to the matching brace.
Unbound               Abort                         Abort the current operation, e.g. incremental history search
Unbound               InvokePrompt                  Erases the current prompt and calls the prompt function to redisplay the prompt
Unbound               RepeatLastCharSearch          Repeat the last recorded character search.
Unbound               RepeatLastCharSearchBackwards Repeat the last recorded character search in the opposite direction.
Unbound               SearchChar                    Move to the next occurance of the specified character.
Unbound               SearchCharBackward            Move to the previous occurance of the specified character.
Unbound               SearchCharWithBackoff         Move to he next occurance of the specified character and then back one chara...
Unbound               SearchCharBackwardWithBackoff Move to the previous occurance of the specified character and then forward o...
Unbound               ViExit                        Exit the shell.
Unbound               DeleteToEnd                   Deletes from the cursor to the end of the line.
Unbound               DeleteWord                    Deletes the current word.
Unbound               ViDeleteGlob                  Delete the current word, as delimited by white space.
Unbound               DeleteEndOfWord               Delete to the end of the current word, as delimited by white space and commo...
Unbound               ViDeleteEndOfGlob             Delete to the end of this word, as delimited by white space.
Unbound               ViCommandMode                 Switch to VI's command mode.
Unbound               ViInsertMode                  Switches to insert mode.
Unbound               ViInsertAtBegining            Moves the cursor to the beginning of the line and switches to insert mode.
Unbound               ViInsertAtEnd                 Moves the cursor to the end of the line and switches to insert mode.
Unbound               ViInsertWithAppend            Switch to insert mode, appending at the current line position.
Unbound               ViInsertWithDelete            Deletes the current character and switches to insert mode.
Unbound               ViAcceptLine                  Accept the line and switch to Vi's insert mode.
Unbound               PrependAndAccept              Inserts the entered character at the beginning and accepts the line.
Unbound               InvertCase                    Inverts the case of the current character and advances the cursor.
Unbound               SwapCharacters                Swap the current character with the character before it.
Unbound               DeleteLineToFirstChar         Deletes all of the line except for leading whitespace.
Unbound               DeleteLine                    Deletes the current line.
Unbound               BackwardDeleteWord            Delete the previous word in the line.
Unbound               ViBackwardDeleteGlob          Delete backward to the beginning of the previous word, as delimited by white...
Unbound               ViDeleteBrace                 Deletes all characters between the cursor position and the matching brace.
Unbound               ViSearchHistoryBackward       Starts a new seach backward in the history.
Unbound               SearchForward                 Prompts for a search string and initiates a search upon AcceptLine.
Unbound               RepeatSearch                  Repeat the last search.
Unbound               RepeatSearchBackward          Repeat the last search, but in the opposite direction.
Unbound               CancelLine                    Abort editing the current line and re-evaluate the prompt
Unbound               DeleteCharOrExit              Delete the character under the cusor, or if the line is empty, exit the proc...
Unbound               ValidateAndAcceptLine         Accept the input or move to the next line if input is missing a closing toke...
Unbound               AcceptAndGetNext              Accept the current line and recall the next line from history after the curr...
Unbound               Complete                      Complete the input if there is a single completion, otherwise complete the i...
Unbound               PossibleCompletions           Display the possible completions without changing the input
Unbound               ViTabCompleteNext             Invokes TabCompleteNext after doing some vi-specific clean up.
Unbound               ViTabCompletePrevious         Invokes TabCompletePrevious after doing some vi-specific clean up.
Unbound               BeginningOfHistory            Move to the first item in the history
Unbound               EndOfHistory                  Move to the last item (the current input) in the history
Unbound               SetMark                       Mark the location of the cursor
Unbound               ExchangePointAndMark          Mark the location of the cursor and move the cursor to the position of the p...
Unbound               KillLine                      Move the text from the cursor to the end of the input to the kill ring
Unbound               BackwardKillLine              Move the text from the cursor to the beginning of the line to the kill ring
Unbound               ShellKillWord                 Move the text from the cursor to the end of the current or next token to the...
Unbound               UnixWordRubout                Move the text from the cursor to the start of the current or previous whites...
Unbound               ShellBackwardKillWord         Move the text from the cursor to the start of the current or previous token ...
Unbound               KillRegion                    Kill the text between the cursor and the mark
Unbound               Yank                          Copy the text from the current kill ring position to the input
Unbound               YankPop                       Replace the previously yanked text with the text from the next kill ring pos...
Unbound               YankNthArg                    Copy the text of the first argument to the input
Unbound               SelectForwardWord             Adjust the current selection to include the next word using ForwardWord
Unbound               SelectShellForwardWord        Adjust the current selection to include the next word using ShellForwardWord
Unbound               SelectShellNextWord           Adjust the current selection to include the next word using ShellNextWord
Unbound               SelectShellBackwardWord       Adjust the current selection to include the previous word using ShellBackwar...
Unbound               PreviousLine                  Move the cursor to the previous line if the input has multiple lines.
Unbound               NextLine                      Move the cursor to the next line if the input has multiple lines.
Unbound               ShellNextWord                 Move the cursor to the end of the current token
Unbound               ForwardWord                   Move the cursor forward to the end of the current word, or if between words,...
Unbound               ShellForwardWord              Move the cursor to the beginning of the next token or end of line
Unbound               ShellBackwardWord             Move the cursor to the beginning of the current or previous token or start o...
